"period_begin_month","period_begin_year","period_begin_month_year","covid_month_year_state","state","state_name_title_case","cases","deaths"
1,2020,"1-2020","1-2020CA","CA","California",0,0
2,2020,"2-2020","2-2020CA","CA","California",34,0
3,2020,"3-2020","3-2020CA","CA","California",6898,150
4,2020,"4-2020","4-2020CA","CA","California",41985,1740
5,2020,"5-2020","5-2020CA","CA","California",61666,2153
6,2020,"6-2020","6-2020CA","CA","California",112334,1834
7,2020,"7-2020","7-2020CA","CA","California",270671,3062
8,2020,"8-2020","8-2020CA","CA","California",210497,3818
9,2020,"9-2020","9-2020CA","CA","California",106540,2900
10,2020,"10-2020","10-2020CA","CA","California",111380,1948
11,2020,"11-2020","11-2020CA","CA","California",290963,1615
12,2020,"12-2020","12-2020CA","CA","California",1018584,6154
1,2021,"1-2021","1-2021CA","CA","California",1011796,14539
2,2021,"2-2021","2-2021CA","CA","California",232214,11881
3,2021,"3-2021","3-2021CA","CA","California",92864,6142
4,2021,"4-2021","4-2021CA","CA","California",69706,2531
5,2021,"5-2021","5-2021CA","CA","California",46900,1544
6,2021,"6-2021","6-2021CA","CA","California",25422,1012
7,2021,"7-2021","7-2021CA","CA","California",147322,912
8,2021,"8-2021","8-2021CA","CA","California",421145,1352
9,2021,"9-2021","9-2021CA","CA","California",316753,3383
10,2021,"10-2021","10-2021CA","CA","California",187013,2849
11,2021,"11-2021","11-2021CA","CA","California",181585,2193
12,2021,"12-2021","12-2021CA","CA","California",444848,2135
1,2020,"1-2020","1-2020FL","FL","Florida",NULL,NULL
2,2020,"2-2020","2-2020FL","FL","Florida",NULL,NULL
3,2020,"3-2020","3-2020FL","FL","Florida",6512,180
4,2020,"4-2020","4-2020FL","FL","Florida",26966,1281
5,2020,"5-2020","5-2020FL","FL","Florida",21662,1187
6,2020,"6-2020","6-2020FL","FL","Florida",101024,1139
7,2020,"7-2020","7-2020FL","FL","Florida",314998,5201
8,2020,"8-2020","8-2020FL","FL","Florida",151859,5252
9,2020,"9-2020","9-2020FL","FL","Florida",85015,2330
10,2020,"10-2020","10-2020FL","FL","Florida",114634,1609
11,2020,"11-2020","11-2020FL","FL","Florida",238299,2084
12,2020,"12-2020","12-2020FL","FL","Florida",419924,3754
1,2021,"1-2021","1-2021FL","FL","Florida",480115,5933
2,2021,"2-2021","2-2021FL","FL","Florida",231873,3675
3,2021,"3-2021","3-2021FL","FL","Florida",194967,2076
4,2021,"4-2021","4-2021FL","FL","Florida",220263,1694
5,2021,"5-2021","5-2021FL","FL","Florida",112968,1529
6,2021,"6-2021","6-2021FL","FL","Florida",66755,973
7,2021,"7-2021","7-2021FL","FL","Florida",361714,2252
8,2021,"8-2021","8-2021FL","FL","Florida",806169,11134
9,2021,"9-2021","9-2021FL","FL","Florida",395994,9031
10,2021,"10-2021","10-2021FL","FL","Florida",102266,2859
11,2021,"11-2021","11-2021FL","FL","Florida",59874,973
12,2021,"12-2021","12-2021FL","FL","Florida",636570,938
1,2020,"1-2020","1-2020MN","MN","Minnesota",NULL,NULL
2,2020,"2-2020","2-2020MN","MN","Minnesota",NULL,NULL
3,2020,"3-2020","3-2020MN","MN","Minnesota",NULL,NULL
4,2020,"4-2020","4-2020MN","MN","Minnesota",2923,222
5,2020,"5-2020","5-2020MN","MN","Minnesota",20072,727
6,2020,"6-2020","6-2020MN","MN","Minnesota",11508,449
7,2020,"7-2020","7-2020MN","MN","Minnesota",18472,167
8,2020,"8-2020","8-2020MN","MN","Minnesota",20676,229
9,2020,"9-2020","9-2020MN","MN","Minnesota",23270,227
10,2020,"10-2020","10-2020MN","MN","Minnesota",49979,442
11,2020,"11-2020","11-2020MN","MN","Minnesota",176320,1199
12,2020,"12-2020","12-2020MN","MN","Minnesota",104213,1830
1,2021,"1-2021","1-2021MN","MN","Minnesota",52190,971
2,2021,"2-2021","2-2021MN","MN","Minnesota",26349,306
3,2021,"3-2021","3-2021MN","MN","Minnesota",40156,351
4,2021,"4-2021","4-2021MN","MN","Minnesota",65356,344
5,2021,"5-2021","5-2021MN","MN","Minnesota",30241,299
6,2021,"6-2021","6-2021MN","MN","Minnesota",4567,178
7,2021,"7-2021","7-2021MN","MN","Minnesota",8892,79
8,2021,"8-2021","8-2021MN","MN","Minnesota",41373,142
9,2021,"9-2021","9-2021MN","MN","Minnesota",71071,342
10,2021,"10-2021","10-2021MN","MN","Minnesota",88560,596
11,2021,"11-2021","11-2021MN","MN","Minnesota",140069,765
12,2021,"12-2021","12-2021MN","MN","Minnesota",133185,1255
1,2020,"1-2020","1-2020TX","TX","Texas",NULL,NULL
2,2020,"2-2020","2-2020TX","TX","Texas",NULL,NULL
3,2020,"3-2020","3-2020TX","TX","Texas",3266,101
4,2020,"4-2020","4-2020TX","TX","Texas",24821,893
5,2020,"5-2020","5-2020TX","TX","Texas",36200,925
6,2020,"6-2020","6-2020TX","TX","Texas",95699,1348
7,2020,"7-2020","7-2020TX","TX","Texas",260960,6683
8,2020,"8-2020","8-2020TX","TX","Texas",192023,4830
9,2020,"9-2020","9-2020TX","TX","Texas",135998,2132
10,2020,"10-2020","10-2020TX","TX","Texas",151629,2559
11,2020,"11-2020","11-2020TX","TX","Texas",353207,4784
12,2020,"12-2020","12-2020TX","TX","Texas",572341,7027
1,2021,"1-2021","1-2021TX","TX","Texas",701027,9907
2,2021,"2-2021","2-2021TX","TX","Texas",338792,5213
3,2021,"3-2021","3-2021TX","TX","Texas",170384,2322
4,2021,"4-2021","4-2021TX","TX","Texas",125062,1221
5,2021,"5-2021","5-2021TX","TX","Texas",74053,983
6,2021,"6-2021","6-2021TX","TX","Texas",60462,534
7,2021,"7-2021","7-2021TX","TX","Texas",164636,623
8,2021,"8-2021","8-2021TX","TX","Texas",533635,3550
9,2021,"9-2021","9-2021TX","TX","Texas",538368,8341
10,2021,"10-2021","10-2021TX","TX","Texas",199083,6005
11,2021,"11-2021","11-2021TX","TX","Texas",108764,2626
12,2021,"12-2021","12-2021TX","TX","Texas",315377,1884
1,2020,"1-2020","1-2020WA","WA","Washington",1,0
2,2020,"2-2020","2-2020WA","WA","Washington",0,1
3,2020,"3-2020","3-2020WA","WA","Washington",5223,194
4,2020,"4-2020","4-2020WA","WA","Washington",9126,619
5,2020,"5-2020","5-2020WA","WA","Washington",7262,304
6,2020,"6-2020","6-2020WA","WA","Washington",11110,214
7,2020,"7-2020","7-2020WA","WA","Washington",23879,232
8,2020,"8-2020","8-2020WA","WA","Washington",18993,351
9,2020,"9-2020","9-2020WA","WA","Washington",14306,211
10,2020,"10-2020","10-2020WA","WA","Washington",21869,240
11,2020,"11-2020","11-2020WA","WA","Washington",61729,408
12,2020,"12-2020","12-2020WA","WA","Washington",80837,687
1,2021,"1-2021","1-2021WA","WA","Washington",72000,824
2,2021,"2-2021","2-2021WA","WA","Washington",31779,671
3,2021,"3-2021","3-2021WA","WA","Washington",28249,291
4,2021,"4-2021","4-2021WA","WA","Washington",44278,252
5,2021,"5-2021","5-2021WA","WA","Washington",39193,266
6,2021,"6-2021","6-2021WA","WA","Washington",17590,165
7,2021,"7-2021","7-2021WA","WA","Washington",26850,193
8,2021,"8-2021","8-2021WA","WA","Washington",105088,451
9,2021,"9-2021","9-2021WA","WA","Washington",112123,1152
10,2021,"10-2021","10-2021WA","WA","Washington",82360,902
11,2021,"11-2021","11-2021WA","WA","Washington",53169,675
12,2021,"12-2021","12-2021WA","WA","Washington",93578,550
