period_begin_month,period_begin_year,period_begin_month_year,covid_month_year_state,state,cases,deaths
1,2020,1-2020,1-2020CA,CA,0,0
2,2020,2-2020,2-2020CA,CA,34,0
3,2020,3-2020,3-2020CA,CA,6898,150
4,2020,4-2020,4-2020CA,CA,41985,1740
5,2020,5-2020,5-2020CA,CA,61666,2153
6,2020,6-2020,6-2020CA,CA,112334,1834
7,2020,7-2020,7-2020CA,CA,270671,3062
8,2020,8-2020,8-2020CA,CA,210497,3818
9,2020,9-2020,9-2020CA,CA,106540,2900
10,2020,10-2020,10-2020CA,CA,111380,1948
11,2020,11-2020,11-2020CA,CA,290963,1615
12,2020,12-2020,12-2020CA,CA,1018584,6154
1,2021,1-2021,1-2021CA,CA,1011796,14539
2,2021,2-2021,2-2021CA,CA,232214,11881
3,2021,3-2021,3-2021CA,CA,92864,6142
4,2021,4-2021,4-2021CA,CA,69706,2531
5,2021,5-2021,5-2021CA,CA,46900,1544
6,2021,6-2021,6-2021CA,CA,25422,1012
7,2021,7-2021,7-2021CA,CA,147322,912
8,2021,8-2021,8-2021CA,CA,421145,1352
9,2021,9-2021,9-2021CA,CA,316753,3383
10,2021,10-2021,10-2021CA,CA,187013,2849
11,2021,11-2021,11-2021CA,CA,181585,2193
12,2021,12-2021,12-2021CA,CA,444848,2135
1,2020,1-2020,1-2020FL,FL,,
2,2020,2-2020,2-2020FL,FL,,
3,2020,3-2020,3-2020FL,FL,6512,180
4,2020,4-2020,4-2020FL,FL,26966,1281
5,2020,5-2020,5-2020FL,FL,21662,1187
6,2020,6-2020,6-2020FL,FL,101024,1139
7,2020,7-2020,7-2020FL,FL,314998,5201
8,2020,8-2020,8-2020FL,FL,151859,5252
9,2020,9-2020,9-2020FL,FL,85015,2330
10,2020,10-2020,10-2020FL,FL,114634,1609
11,2020,11-2020,11-2020FL,FL,238299,2084
12,2020,12-2020,12-2020FL,FL,419924,3754
1,2021,1-2021,1-2021FL,FL,480115,5933
2,2021,2-2021,2-2021FL,FL,231873,3675
3,2021,3-2021,3-2021FL,FL,194967,2076
4,2021,4-2021,4-2021FL,FL,220263,1694
5,2021,5-2021,5-2021FL,FL,112968,1529
6,2021,6-2021,6-2021FL,FL,66755,973
7,2021,7-2021,7-2021FL,FL,361714,2252
8,2021,8-2021,8-2021FL,FL,806169,11134
9,2021,9-2021,9-2021FL,FL,395994,9031
10,2021,10-2021,10-2021FL,FL,102266,2859
11,2021,11-2021,11-2021FL,FL,59874,973
12,2021,12-2021,12-2021FL,FL,636570,938
1,2020,1-2020,1-2020MN,MN,,
2,2020,2-2020,2-2020MN,MN,,
3,2020,3-2020,3-2020MN,MN,,
4,2020,4-2020,4-2020MN,MN,2923,222
5,2020,5-2020,5-2020MN,MN,20072,727
6,2020,6-2020,6-2020MN,MN,11508,449
7,2020,7-2020,7-2020MN,MN,18472,167
8,2020,8-2020,8-2020MN,MN,20676,229
9,2020,9-2020,9-2020MN,MN,23270,227
10,2020,10-2020,10-2020MN,MN,49979,442
11,2020,11-2020,11-2020MN,MN,176320,1199
12,2020,12-2020,12-2020MN,MN,104213,1830
1,2021,1-2021,1-2021MN,MN,52190,971
2,2021,2-2021,2-2021MN,MN,26349,306
3,2021,3-2021,3-2021MN,MN,40156,351
4,2021,4-2021,4-2021MN,MN,65356,344
5,2021,5-2021,5-2021MN,MN,30241,299
6,2021,6-2021,6-2021MN,MN,4567,178
7,2021,7-2021,7-2021MN,MN,8892,79
8,2021,8-2021,8-2021MN,MN,41373,142
9,2021,9-2021,9-2021MN,MN,71071,342
10,2021,10-2021,10-2021MN,MN,88560,596
11,2021,11-2021,11-2021MN,MN,140069,765
12,2021,12-2021,12-2021MN,MN,133185,1255
1,2020,1-2020,1-2020TX,TX,,
2,2020,2-2020,2-2020TX,TX,,
3,2020,3-2020,3-2020TX,TX,3266,101
4,2020,4-2020,4-2020TX,TX,24821,893
5,2020,5-2020,5-2020TX,TX,36200,925
6,2020,6-2020,6-2020TX,TX,95699,1348
7,2020,7-2020,7-2020TX,TX,260960,6683
8,2020,8-2020,8-2020TX,TX,192023,4830
9,2020,9-2020,9-2020TX,TX,135998,2132
10,2020,10-2020,10-2020TX,TX,151629,2559
11,2020,11-2020,11-2020TX,TX,353207,4784
12,2020,12-2020,12-2020TX,TX,572341,7027
1,2021,1-2021,1-2021TX,TX,701027,9907
2,2021,2-2021,2-2021TX,TX,338792,5213
3,2021,3-2021,3-2021TX,TX,170384,2322
4,2021,4-2021,4-2021TX,TX,125062,1221
5,2021,5-2021,5-2021TX,TX,74053,983
6,2021,6-2021,6-2021TX,TX,60462,534
7,2021,7-2021,7-2021TX,TX,164636,623
8,2021,8-2021,8-2021TX,TX,533635,3550
9,2021,9-2021,9-2021TX,TX,538368,8341
10,2021,10-2021,10-2021TX,TX,199083,6005
11,2021,11-2021,11-2021TX,TX,108764,2626
12,2021,12-2021,12-2021TX,TX,315377,1884
1,2020,1-2020,1-2020WA,WA,1,0
2,2020,2-2020,2-2020WA,WA,0,1
3,2020,3-2020,3-2020WA,WA,5223,194
4,2020,4-2020,4-2020WA,WA,9126,619
5,2020,5-2020,5-2020WA,WA,7262,304
6,2020,6-2020,6-2020WA,WA,11110,214
7,2020,7-2020,7-2020WA,WA,23879,232
8,2020,8-2020,8-2020WA,WA,18993,351
9,2020,9-2020,9-2020WA,WA,14306,211
10,2020,10-2020,10-2020WA,WA,21869,240
11,2020,11-2020,11-2020WA,WA,61729,408
12,2020,12-2020,12-2020WA,WA,80837,687
1,2021,1-2021,1-2021WA,WA,72000,824
2,2021,2-2021,2-2021WA,WA,31779,671
3,2021,3-2021,3-2021WA,WA,28249,291
4,2021,4-2021,4-2021WA,WA,44278,252
5,2021,5-2021,5-2021WA,WA,39193,266
6,2021,6-2021,6-2021WA,WA,17590,165
7,2021,7-2021,7-2021WA,WA,26850,193
8,2021,8-2021,8-2021WA,WA,105088,451
9,2021,9-2021,9-2021WA,WA,112123,1152
10,2021,10-2021,10-2021WA,WA,82360,902
11,2021,11-2021,11-2021WA,WA,53169,675
12,2021,12-2021,12-2021WA,WA,93578,550
